city,district,neighborhood,Fiyat,İlan Tarihi,İlan No,Marka,Seri,Model,Yıl,Yakıt,Vites,Araç Durumu,KM,Kasa Tipi,Motor Gücü,Motor Hacmi,Çekiş,Renk,Garanti,Ağır Hasar Kayıtlı,Plaka / Uyruk,Kimden,Takas
Giresun,Bulancak,Güzelyalı Mh.,545.000 TL,21 Ekim 2024,1196001355,Fiat,Egea,1.3 Multijet Easy,2016,Dizel,Manuel,İkinci El,159.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Kocaeli,Darıca,Abdi İpekçi Mh.,770.000 TL,21 Ekim 2024,1205972877,Fiat,Egea,1.4 Fire Easy,2024,Benzin,Manuel,İkinci El,13.000,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Isparta,Merkez,Hızırbey Mh.,195.000 TL,21 Ekim 2024,1205964079,Fiat,UNO,70 S,1995,Benzin & LPG,Manuel,İkinci El,253.000,Hatchback 5 kapı,71 hp,1372 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Gaziantep,Şehitkamil,Karacaahmet Mh.,770.000 TL,21 Ekim 2024,1205696587,Fiat,Egea,1.4 Fire Easy Plus,2023,Benzin,Manuel,İkinci El,11.000,Sedan,95 hp,1368 cc,Önden Çekiş,Gri,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Bayrampaşa,Yıldırım Mh.,419.500 TL,21 Ekim 2024,1205960838,Fiat,Linea,1.3 Multijet Pop,2012,Dizel,Manuel,İkinci El,171.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Kahramanmaraş,Onikişubat,Yamaçtepe Mh.,445.000 TL,21 Ekim 2024,1205950121,Fiat,Linea,1.3 Multijet Active Plus,2013,Dizel,Manuel,İkinci El,231.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Edirne,Merkez,İstasyon Mh.,330.000 TL,20 Ekim 2024,1205931087,Fiat,Panda,1.2 Active,2011,Benzin,Manuel,İkinci El,239.000,Hatchback 5 kapı,69 hp,1242 cc,Önden Çekiş,Siyah,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Adana,Seyhan,Yeşiloba Mh.,575.000 TL,20 Ekim 2024,1192461233,Fiat,Egea,1.3 Multijet Easy,2019,Dizel,Manuel,İkinci El,234.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Pendik,Orhangazi Mah.,559.000 TL,20 Ekim 2024,1205917415,Fiat,Egea,1.3 Multijet Easy,2017,Dizel,Manuel,İkinci El,140.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Denizli,Honaz,Gürleyik Mh.,667.000 TL,20 Ekim 2024,1202378165,Fiat,Egea,1.4 Fire Easy,2022,Benzin,Manuel,İkinci El,67.000,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Niğde,Merkez,Aşağı Kayabaşı Mh.,676.500 TL,20 Ekim 2024,1198703221,Fiat,Egea,1.4 Fire Easy,2020,Benzin,Manuel,İkinci El,58.000,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Niğde,Bor,Kemerhisar Bld.,349.500 TL,20 Ekim 2024,1205890343,Fiat,Egea,1.3 Multijet Easy,2018,Dizel,Manuel,İkinci El,550.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Ümraniye,Atatürk Mh.,759.000 TL,20 Ekim 2024,1205888533,Fiat,Egea,1.3 Multijet Easy Plus,2022,Dizel,Manuel,İkinci El,40.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Ankara,Çankaya,Naci Çakır Mh.,645.000 TL,20 Ekim 2024,1205878364,Fiat,Egea,1.4 Fire Mirror,2018,Benzin,Manuel,İkinci El,84.000,Sedan,95 hp,1368 cc,Önden Çekiş,Lacivert,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Ümraniye,Huzur Mah.,595.000 TL,20 Ekim 2024,1205871831,Fiat,Egea,1.4 Fire Easy,2020,Benzin,Manuel,İkinci El,152.000,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Ankara,Keçiören,Uyanış Mh.,729.500 TL,20 Ekim 2024,1205870617,Fiat,Egea,1.3 Multijet Easy Plus,2021,Dizel,Manuel,İkinci El,119.599,Sedan,101 - 125 HP,1301 - 1600 cm3,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
İstanbul,Beylikdüzü,Dereağzı Mh.,305.750 TL,20 Ekim 2024,1205871879,Fiat,Punto,Grande 1.3 Multijet Emotion,2006,Dizel,Manuel,İkinci El,305.000,Hatchback 3 kapı,90 hp,1248 cc,Önden Çekiş,Füme,Hayır,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
Kocaeli,İzmit,Gündoğdu Mh.,1.045.000 TL,20 Ekim 2024,1205854896,Fiat,Egea,1.6 Multijet Urban,2022,Dizel,Otomatik,İkinci El,40.000,Sedan,130 hp,1598 cc,Önden Çekiş,Gri,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Afyonkarahisar,Başmakçı,Yeni Mah.,350.000 TL,20 Ekim 2024,1180398775,Fiat,Stilo,1.6 Active,2005,Benzin & LPG,Manuel,İkinci El,300.000,Hatchback 5 kapı,103 hp,1596 cc,Önden Çekiş,Mavi,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Samsun,Bafra,Emirefendi Mah.,340.000 TL,20 Ekim 2024,1192390535,Fiat,Albea,Sole 1.3 Multijet Premio,2011,Dizel,Manuel,İkinci El,370.000,Sedan,70 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Sancaktepe,Eyüp Sultan Mh.,617.000 TL,20 Ekim 2024,1205759810,Fiat,Egea,1.3 Multijet Easy,2021,Dizel,Manuel,İkinci El,175.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Antalya,Alanya,Güller Pınarı Mh.,729.750 TL,20 Ekim 2024,1205793784,Fiat,Egea,1.4 Fire Urban,2022,Benzin,Manuel,İkinci El,83.000,Sedan,95 hp,1368 cc,Önden Çekiş,Gri,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Ataşehir,İnönü Mh.,643.000 TL,20 Ekim 2024,1195099418,Fiat,Egea,1.6 Multijet Easy,2020,Dizel,Otomatik,İkinci El,178.688,Sedan,120 hp,1598 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Tekirdağ,Çorlu,Önerler Mh.,447.500 TL,20 Ekim 2024,1190818870,Fiat,Linea,1.3 Multijet Active,2007,Dizel,Manuel,İkinci El,238.000,Sedan,90 hp,1248 cc,Önden Çekiş,Turkuaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Kocaeli,Gölcük,Çiftlik Mh.,587.500 TL,19 Ekim 2024,1205762364,Fiat,Egea,1.4 Fire Easy,2017,Benzin,Manuel,İkinci El,142.000,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Bayrampaşa,Yıldırım Mh.,310.000 TL,19 Ekim 2024,1205726808,Fiat,Linea,1.3 Multijet Active Plus,2012,Dizel,Manuel,İkinci El,330.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
İstanbul,Eyüpsultan,Topçular Mh.,770.000 TL,19 Ekim 2024,1202187546,Fiat,Egea,1.6 Multijet Urban,2021,Dizel,Manuel,İkinci El,82.000,Hatchback 5 kapı,130 hp,1598 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Bağcılar,100. Yıl Mh.,489.000 TL,19 Ekim 2024,1205716753,Fiat,Egea,1.3 Multijet Urban Plus,2020,Dizel,Manuel,İkinci El,501.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Bursa,Yıldırım,Kazım Karabekir Mh.,660.000 TL,19 Ekim 2024,1198752711,Fiat,Egea,1.3 Multijet Easy,2019,Dizel,Manuel,İkinci El,132.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Sultanbeyli,Mehmet Akif Mah.,589.900 TL,19 Ekim 2024,1205703867,Fiat,Egea,1.3 Multijet Easy Stil,2018,Dizel,Manuel,İkinci El,154.000,Sedan,76 - 100 HP,1301 - 1600 cm3,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
Ankara,Etimesgut,Piyade Mah.,452.500 TL,19 Ekim 2024,1205711150,Fiat,Linea,1.3 Multijet Pop,2012,Dizel,Manuel,İkinci El,212.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Samsun,Canik,Hasköy Mh.,380.000 TL,19 Ekim 2024,1205661452,Fiat,Palio,1.6 HL,1998,Benzin & LPG,Manuel,İkinci El,190.000,Hatchback 5 kapı,100 hp,1581 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
İstanbul,Sultangazi,Sultançiftliği Mh.,379.000 TL,19 Ekim 2024,1205703934,Fiat,Linea,1.3 Multijet Active,2012,Dizel,Manuel,İkinci El,290.000,Sedan,90 hp,1248 cc,Önden Çekiş,Gri,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Isparta,Merkez,Davraz Mah.,675.000 TL,19 Ekim 2024,1202171289,Fiat,Egea,1.3 Multijet Easy,2020,Dizel,Manuel,İkinci El,136.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Sultanbeyli,Turgut Reis Mah.,399.750 TL,19 Ekim 2024,1169960673,Fiat,Albea,Sole 1.3 Multijet Dynamic,2010,Dizel,Manuel,İkinci El,236.000,Sedan,70 hp,1248 cc,Önden Çekiş,Gümüş Gri,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Kırklareli,Lüleburgaz,Atatürk Mh.,445.000 TL,19 Ekim 2024,1205695543,Fiat,Linea,1.3 Multijet Active Plus,2014,Dizel,Manuel,İkinci El,190.000,Sedan,95 hp,1248 cc,Önden Çekiş,Gri,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Ankara,Mamak,Durali Alıç Mh.,345.000 TL,19 Ekim 2024,1205691789,Fiat,Linea,1.3 Multijet Easy,2013,Dizel,Manuel,İkinci El,320.000,Sedan,95 hp,1248 cc,Önden Çekiş,Gri,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Antalya,Kepez,Kepez Mah.,249.750 TL,19 Ekim 2024,1205692918,Fiat,Linea,1.3 Multijet Dynamic,2010,Dizel,Manuel,İkinci El,305.000,Sedan,90 hp,1248 cc,Önden Çekiş,Gri,Hayır,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
Kocaeli,Çayırova,Yeni Mah.,439.000 TL,19 Ekim 2024,1197531865,Fiat,Linea,1.6 Multijet Emotion Plus,2012,Dizel,Manuel,İkinci El,258.000,Sedan,105 hp,1598 cc,Önden Çekiş,Füme,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Malatya,Yeşilyurt,Yakınca Mh.,649.900 TL,19 Ekim 2024,1205674995,Fiat,Egea,1.4 Fire Easy,2020,Benzin,Manuel,İkinci El,70.000,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Esenyurt,Turgut Özal Mh.,897.750 TL,19 Ekim 2024,1205667922,Fiat,Egea,1.5 T4 Hibrit Easy,2022,Hybrid,Otomatik,İkinci El,29.000,Sedan,130 hp,1469 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Esenyurt,Turgut Özal Mh.,699.750 TL,19 Ekim 2024,1205674762,Fiat,Egea,1.6 Multijet Easy,2020,Dizel,Otomatik,İkinci El,110.000,Sedan,120 hp,1598 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Bursa,Osmangazi,Fatih Mah.,339.000 TL,19 Ekim 2024,1205671642,Fiat,Punto,Grande 1.3 Multijet Emotion,2007,Dizel,Manuel,İkinci El,182.000,Hatchback 5 kapı,90 hp,1248 cc,Önden Çekiş,Siyah,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Esenyurt,Turgut Özal Mh.,579.750 TL,19 Ekim 2024,1205670536,Fiat,Egea,1.3 Multijet Easy,2020,Dizel,Manuel,İkinci El,156.000,Sedan,95 hp,1248 cc,Önden Çekiş,Füme,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Esenyurt,Turgut Özal Mh.,697.500 TL,19 Ekim 2024,1205668400,Fiat,Egea,1.6 Multijet Easy,2020,Dizel,Otomatik,İkinci El,148.000,Sedan,120 hp,1598 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Kartal,Gümüşpınar Mh.,339.500 TL,19 Ekim 2024,1192403307,Fiat,Linea,1.3 Multijet Active,2008,Dizel,Manuel,İkinci El,336.000,Sedan,90 hp,1248 cc,Önden Çekiş,Gümüş Gri,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Avcılar,Firuzköy Mh.,170.000 TL,19 Ekim 2024,1205663579,Fiat,Tipo,1.6 SX,1996,Benzin & LPG,Manuel,İkinci El,325.000,Hatchback 5 kapı,75 hp,1581 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Diyarbakır,Yenişehir,Fabrika Mah.,595.000 TL,19 Ekim 2024,1205653856,Fiat,Egea,1.4 Fire Easy,2021,Benzin & LPG,Manuel,İkinci El,141.000,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Ümraniye,İstiklal Mh.,317.000 TL,19 Ekim 2024,1205650197,Fiat,Albea,Sole 1.3 Multijet Active,2008,Dizel,Manuel,İkinci El,200.000,Sedan,70 hp,1248 cc,Önden Çekiş,Gümüş Gri,Hayır,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
İstanbul,Bağcılar,Göztepe Mh.,729.000 TL,19 Ekim 2024,1202121367,Fiat,Egea,1.3 Multijet Easy Plus,2021,Dizel,Manuel,İkinci El,88.000,Sedan,76 - 100 HP,1300 cm3' e kadar,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Bursa,Osmangazi,Güneştepe Mh.,340.000 TL,19 Ekim 2024,1205633635,Fiat,Punto,Grande 1.3 Multijet Active,2007,Dizel,Manuel,İkinci El,253.150,Hatchback 5 kapı,75 hp,1248 cc,Önden Çekiş,Mavi,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Antalya,Kepez,Altınova Sinan Mh.,815.000 TL,19 Ekim 2024,1205628820,Fiat,Egea,1.3 Multijet Easy,2022,Dizel,Manuel,İkinci El,29.800,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Uşak,Merkez,Fevzi Çakmak Mh.,795.000 TL,19 Ekim 2024,1205608200,Fiat,Egea,1.3 Multijet Easy,2022,Dizel,Manuel,İkinci El,58.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Malatya,Yeşilyurt,Yakınca Mh.,585.900 TL,19 Ekim 2024,1205601106,Fiat,Egea,1.4 Fire Easy,2018,Benzin & LPG,Manuel,İkinci El,133.000,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Tekirdağ,Çerkezköy,Fatih Mah.,465.000 TL,19 Ekim 2024,1205608851,Fiat,Linea,1.3 Multijet Active Plus,2013,Dizel,Manuel,İkinci El,150.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Beylikdüzü,Cumhuriyet Mah.,580.000 TL,19 Ekim 2024,1205596327,Fiat,Egea,1.6 Multijet Comfort,2016,Dizel,Otomatik,İkinci El,144.000,Sedan,120 hp,1598 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Eskişehir,Odunpazarı,Sultandere 75. Yıl Mh.,225.000 TL,19 Ekim 2024,1205581152,Fiat,Palio,1.6 HL,2000,Benzin & LPG,Manuel,İkinci El,247.000,Hatchback 5 kapı,100 hp,1581 cc,Önden Çekiş,Bordo,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Bağcılar,Göztepe Mh.,275.000 TL,19 Ekim 2024,1154035598,Fiat,Linea,1.4 Fire Active,2007,Benzin & LPG,Manuel,İkinci El,342.000,Sedan,77 hp,1368 cc,Önden Çekiş,Mavi,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Niğde,Bor,Harım Mh.,515.000 TL,19 Ekim 2024,1202001160,Fiat,Punto,EVO 1.4 Active,2011,Benzin & LPG,Manuel,İkinci El,175.000,Hatchback 5 kapı,77 hp,1368 cc,Önden Çekiş,Gümüş Gri,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Bilecik,Bozüyük,4 Eylül Mh.,185.000 TL,19 Ekim 2024,1205547801,Fiat,UNO,70 S,1996,Benzin & LPG,Manuel,İkinci El,230.000,Hatchback 5 kapı,71 hp,1372 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Kastamonu,Merkez,Kuzeykent Mah.,650.000 TL,18 Ekim 2024,1201975605,Fiat,Linea,1.3 Multijet Urban,2016,Dizel,Manuel,İkinci El,103.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Diyarbakır,Kayapınar,Talaytepe Mah.,650.000 TL,18 Ekim 2024,1205529067,Fiat,Egea,1.4 Fire Easy,2020,Benzin,Manuel,İkinci El,69.000,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Edirne,Merkez,İstasyon Mh.,679.000 TL,18 Ekim 2024,1195522621,Fiat,Egea,1.4 Fire Easy,2020,Benzin & LPG,Manuel,İkinci El,50.000,Sedan,95 hp,1368 cc,Önden Çekiş,Gri,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Niğde,Bor,Harım Mh.,495.000 TL,18 Ekim 2024,1205485548,Fiat,Punto,1.3 Multijet Pop,2013,Dizel,Manuel,İkinci El,175.000,Hatchback 5 kapı,75 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İzmir,Bornova,Kazımdirik Mh.,780.000 TL,18 Ekim 2024,1205475777,Fiat,Egea,1.4 Fire Easy Plus,2024,Benzin,Manuel,İkinci El,26.000,Sedan,76 - 100 HP,1301 - 1600 cm3,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Muğla,Fethiye,Yeni Mah.,855.900 TL,18 Ekim 2024,1205470249,Fiat,Egea,1.3 Multijet Easy,2023,Dizel,Manuel,İkinci El,15.000,Sedan,95 hp,1248 cc,Önden Çekiş,Füme,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Kayseri,Kocasinan,Yıldızevler Mh.,775.000 TL,18 Ekim 2024,1201898602,Fiat,Egea,1.4 Fire Easy Plus,2023,Benzin,Manuel,İkinci El,12.000,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Manisa,Salihli,Sağlık Mh.,415.000 TL,18 Ekim 2024,1201896255,Fiat,Linea,1.3 Multijet Active Plus,2013,Dizel,Manuel,İkinci El,270.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Gaziosmanpaşa,Barbaros Hayrettinpaşa Mh.,465.000 TL,18 Ekim 2024,1198072384,Fiat,Egea,1.3 Multijet Easy,2018,Dizel,Manuel,İkinci El,280.000,Sedan,95 hp,1248 cc,Önden Çekiş,Gümüş Gri,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Silivri,Mimar Sinan Mh.,780.000 TL,18 Ekim 2024,1201885440,Fiat,Egea,1.3 Multijet Lounge,2017,Dizel,Manuel,İkinci El,62.550,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Aksaray,Merkez,Hacılar Harmanı Mh.,412.500 TL,18 Ekim 2024,1201881137,Fiat,Albea,Sole 1.3 Multijet Dynamic,2010,Dizel,Manuel,İkinci El,299.000,Sedan,70 hp,1248 cc,Önden Çekiş,Gri,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Malatya,Yeşilyurt,Yakınca Mh.,634.900 TL,18 Ekim 2024,1205427157,Fiat,Egea,1.4 Fire Easy,2019,Benzin & LPG,Manuel,İkinci El,62.000,Sedan,95 hp,1368 cc,Önden Çekiş,Kırmızı,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Antalya,Kepez,Gülveren Mh.,373.500 TL,18 Ekim 2024,1183873688,Fiat,Linea,1.3 Multijet Active Plus,2013,Dizel,Manuel,İkinci El,239.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Aksaray,Merkez,Hacılar Harmanı Mh.,795.000 TL,18 Ekim 2024,1201817950,Fiat,Egea,1.4 Fire Easy Plus,2023,Benzin,Manuel,İkinci El,30.000,Sedan,76 - 100 HP,1301 - 1600 cm3,Önden Çekiş,Füme,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Tekirdağ,Çorlu,Rumeli Mah.,279.500 TL,18 Ekim 2024,1205383990,Fiat,Albea,Sole 1.4 Fire Dynamic,2008,Benzin & LPG,Manuel,İkinci El,403.000,Sedan,77 hp,1368 cc,Önden Çekiş,Gümüş Gri,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Kayseri,Kocasinan,Seyrani Mah.,565.000 TL,18 Ekim 2024,1205384664,Fiat,Egea,1.3 Multijet Easy,2018,Dizel,Manuel,İkinci El,163.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Kütahya,Tavşanlı,Kavaklı Mh.,515.000 TL,18 Ekim 2024,1195382234,Fiat,Punto,Grande 1.4 Fire Active,2009,Benzin,Manuel,İkinci El,34.000,Hatchback 3 kapı,77 hp,1368 cc,Önden Çekiş,Gümüş Gri,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Ümraniye,Adem Yavuz Mah.,895.000 TL,18 Ekim 2024,1205369440,Fiat,Egea,1.6 Multijet Easy,2022,Dizel,Otomatik,İkinci El,45.000,Sedan,130 hp,1598 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Antalya,Serik,Orta Mah.,725.000 TL,18 Ekim 2024,1205368520,Fiat,Egea,1.4 Fire Easy Plus,2022,Benzin,Manuel,İkinci El,34.000,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Manisa,Salihli,Sağlık Mh.,360.000 TL,18 Ekim 2024,1205343083,Fiat,Panda,1.2 Dynamic,2004,Benzin,Manuel,İkinci El,220.000,Hatchback 5 kapı,60 hp,1242 cc,Önden Çekiş,Kırmızı,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Bursa,Yıldırım,Kazım Karabekir Mh.,610.000 TL,18 Ekim 2024,1205332922,Fiat,Egea,1.3 Multijet Easy,2020,Dizel,Manuel,İkinci El,210.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Adana,Seyhan,Yeşiloba Mh.,695.000 TL,18 Ekim 2024,1201710551,Fiat,Egea,1.4 Fire Easy,2022,Benzin,Manuel,İkinci El,84.000,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Afyonkarahisar,Merkez,Esentepe Mah.,875.000 TL,17 Ekim 2024,1205299130,Fiat,Egea,1.4 Fire Easy Plus,2023,Benzin,Manuel,İkinci El,6.001,Sedan,95 hp,1368 cc,Önden Çekiş,Mavi,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Kocaeli,Darıca,Osman Gazi Mah.,844.999 TL,17 Ekim 2024,1201686975,Fiat,Egea,1.3 Multijet Easy Plus,2023,Dizel,Manuel,İkinci El,46.500,Sedan,95 hp,1248 cc,Önden Çekiş,Gri,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Düzce,Merkez,Kültür Mh.,225.000 TL,17 Ekim 2024,1188455535,Fiat,Tempra,1.6 S,1996,Benzin & LPG,Manuel,İkinci El,205.000,Sedan,75 hp,1581 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Konya,Karatay,Fevziçakmak Mh.,700.000 TL,17 Ekim 2024,1195254931,Fiat,Egea,1.4 Fire Easy,2021,Benzin,Manuel,İkinci El,13.000,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Sultanbeyli,Abdurrahmangazi Mah.,768.000 TL,17 Ekim 2024,1201627982,Fiat,Egea,1.6 Multijet Urban Plus,2019,Dizel,Otomatik,İkinci El,119.000,Hatchback 5 kapı,120 hp,1598 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
